,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,videoid,publish_time,channelId,title,cover_url,channelTitle,tag,duration,caption,defaultAudioLanguage,viewcount,likecount,favoritecount,commentcount,cover_word,channel_start_date,channelname,channel_cover,bannerExternalUrl,topicCategories,channel_view,subscriberCount,hiddenSubscriberCount,videoCount,hour,minute,second,day,duration_in_sec,topic_cat,topic_Electronic_music,topic_Society,topic_Sport,topic_Food,topic_Rhythm_and_blues,topic_Independent_music,topic_Humour,topic_Racing_video_game,topic_Knowledge,topic_Politics,topic_Video_game_culture,topic_Reggae,topic_Television_program,topic_Baseball,topic_Casual_game,topic_Mixed_martial_arts,topic_Health,topic_Action_game,topic_Basketball,topic_Pet,topic_Lifestyle_(sociology),topic_American_football,topic_Religion,topic_Soul_music,topic_Music,topic_Strategy_video_game,topic_Classical_music,topic_Fashion,topic_Volleyball,topic_Physical_fitness,topic_Tourism,topic_Rock_music,topic_Music_video_game,topic_Simulation_video_game,topic_Cricket,topic_Entertainment,topic_Pop_music,topic_Tennis,topic_Action-adventure_game,topic_Music_of_Asia,topic_Hobby,topic_Professional_wrestling,topic_Puzzle_video_game,topic_Jazz,topic_Physical_attractiveness,topic_Vehicle,topic_Boxing,topic_Business,topic_Role-playing_video_game,topic_Hip_hop_music,topic_Motorsport,topic_Christian_music,topic_Association_football,topic_Ice_hockey,topic_Technology,topic_Military,topic_Film,topic_Country_music,topic_Performing_arts,topic_Golf,topic_Sports_game,topic_Music_of_Latin_America,music,channel_week,week,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,channel_year_1970,channel_year_2005,channel_year_2006,channel_year_2007,channel_year_2008,channel_year_2009,channel_year_2010,channel_year_2011,channel_year_2012,channel_year_2013,channel_year_2014,channel_year_2015,channel_year_2016,channel_year_2017,channel_year_2018,channel_year_2019,channel_year_2020,channel_year_2021,channel_year_2022,channel_month_1,channel_month_2,channel_month_3,channel_month_4,channel_month_5,channel_month_6,channel_month_7,channel_month_8,channel_month_9,channel_month_10,channel_month_11,channel_month_12,dimension_2d,dimension_3d,definition_hd,definition_sd,country_AE,country_AF,country_AL,country_AM,country_AR,country_AT,country_AU,country_AZ,country_BA,country_BD,country_BE,country_BG,country_BH,country_BM,country_BO,country_BR,country_BY,country_CA,country_CH,country_CL,country_CN,country_CO,country_CR,country_CY,country_CZ,country_DE,country_DK,country_DZ,country_EC,country_EE,country_EG,country_ES,country_FI,country_FR,country_GB,country_GE,country_GH,country_GL,country_GR,country_HK,country_HR,country_HU,country_ID,country_IE,country_IL,country_IN,country_IR,country_IS,country_IT,country_JM,country_JO,country_JP,country_KE,country_KH,country_KR,country_KW,country_KY,country_KZ,country_LB,country_LK,country_LT,country_LU,country_LV,country_MA,country_MT,country_MX,country_MY,country_NG,country_NL,country_NO,country_NP,country_NZ,country_None,country_OM,country_PA,country_PE,country_PH,country_PK,country_PL,country_PR,country_PT,country_QA,country_RO,country_RS,country_RU,country_SA,country_SE,country_SG,country_SI,country_SK,country_SN,country_SV,country_TH,country_TN,country_TR,country_TT,country_TW,country_TZ,country_UA,country_UG,country_US,country_UY,country_UZ,country_VG,country_VN,country_YE,country_ZA,country_ZW,cosine_sim,colourfulness,contrast,saturation
4100,4100,4100,4107,ialuYCEdje4,2016-05-16T13:43:17Z,UCjdxelARHGq3-3dN_neMOAQ,VMO Strengthening Exercises - Ask Doctor Jo,https://i.ytimg.com/vi/ialuYCEdje4/hqdefault.jpg,AskDoctorJo,vmo vastus intermedius vmo exercises vmo muscle vastus medialis oblique vastus vastus medialis exercises vastus lateralis pain vastus medialis pain vmo strengthening physical therapy askdoctorjo doctorjo dr jo vmo strengthening exercises vastus medialis o,PT3M7S,True,en,310124.0,4975.0,0,227,"Strengthening .%
Exercises A

——
",2012-06-07T00:43:16Z,AskDoctorJo,https://yt3.ggpht.com/ytc/AMLnZu95pudsSM8HXEL8smJFg-3dncziQu-RSoCHUxPo=s800-c-k-c0x00ffffff-no-rj,https://lh3.googleusercontent.com/KO0R4YUsXoG5nDhHvsPImHXKiTz5Zeqiu9hvE1x3N90Xz2AL3f4SRBWVD4tBywiAMj-P-mYP,"https://en.wikipedia.org/wiki/Physical_fitness,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Pet,https://en.wikipedia.org/wiki/Health",223020395.0,1850000.0,0.0,864.0,0,3,7,0,187,"['Physical_fitness', 'Lifestyle_(sociology)', 'Pet', 'Health']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8757815580603594,34.51546604666576,118.82452819288274,18.146030092592596
50159,50159,50159,50401,mqX4dEERbpg,2022-10-12T12:03:02Z,UCCsDnaC1syGekuCyia8RQkQ,The most delicious cauliflower in the world in our village house,https://i.ytimg.com/vi/mqX4dEERbpg/hqdefault.jpg,Kend ocağı,"kend ocağı,village cooking vlog,Village vlog,köy heyati,kend heyati,Village lifestyle,village cooking,Cooking in nature,country life,country life vlog,حياة القرية,गावं की जिंदगी,сельская жизнь,زندگی روستایی,food,kebab,cooking in village,nomadic lifestyle,",PT11M14S,True,en,1406.0,96.0,0,35,,2021-09-13T18:49:19.330387Z,Kend ocağı,https://yt3.ggpht.com/5SEMCW-4KZzqLT8IFk8giSZhlldgapCXDJEf6FRzR47KD1PI0_6iCHF6OuidbnvokRBsxDkA=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/i8VCbFefHuutjCpprnTD5dHyRJJr9cyQKYmo2B1Tm8fFx-d7e7HL9e3g24oxMP92Js9DCFeptQ,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",3473126.0,16200.0,0.0,111.0,0,11,14,0,674,"['Food', 'Lifestyle_(sociology)']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8963354104365556,28.47311051897698,73.8351964609219,67.68863425925926
1994,1994,1994,1996,G8x8qTNmc7Q,2014-08-26T23:06:19Z,UCdK135J8Z9uHdG67eJ08LyA,StoneAge® AutoBox™ ABX-2L Training,https://i.ytimg.com/vi/G8x8qTNmc7Q/hqdefault.jpg,StoneAge,StoneAge Autobox Water Blasting Exchanger Cleaning Automated Exchanger Cleaning Flex Lancing Water Jetting Hydroblasting ABX-2L Double Lance Tube Cleaning Tube Bundle Cleaning Fin Fan StoneAge Tools waterblasting water blasting ABX waterblast,PT19M37S,True,en,12917.0,57.0,0,1,,2010-10-20T19:06:39Z,StoneAge,https://yt3.ggpht.com/ytc/AMLnZu9g-DYcxv769GUSY54txh2rw9Y5gHbo6qxSyV8VpA=s800-c-k-c0x00ffffff-no-rj,https://yt3.googleusercontent.com/tScHRHjf2T42p9pOuTEQjqSSvT9n5zmvgUYi4lKWJQ58C_Liw63foOFH3I5GwN5132p-uQLy-Hw,"https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",667343.0,1780.0,0.0,203.0,0,19,37,0,1177,"['Technology', 'Lifestyle_(sociology)']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9466808843045622,33.188334740752005,74.92566016134883,57.76517361111111
13533,13533,13533,13569,K7AfxYTfUx4,2019-04-08T13:53:18Z,UCRPLgL5_AAHwtnP9Qwu8tsw,CBQ Method Stage 4: Condition Your Smoke Free Life | Nasia Davos,https://i.ytimg.com/vi/K7AfxYTfUx4/hqdefault.jpg,CBQ Method to Quit Smoking,quit smoking stop smoking smoking cessation how to quit smoking best way to quit smoking how to stop smoking cbq method nasia davos smoking cessation formula how to quit smoking easily quit smoking naturally breathe life nicotine quit cigarettes stage 4 c,PT5M49S,True,en-US,22764.0,542.0,0,36,"CBQ METHOD”

STAGE 4B

CONDITION
YOUR

SMOKE-FREE ©
LIFE

",2016-01-24T19:28:05Z,CBQ Method to Quit Smoking,https://yt3.ggpht.com/ytc/AMLnZu8WGaX5I7XOpU6pwqkzB6h5y1qSVpxNQgouNriR=s800-c-k-c0x00ffffff-no-rj,https://yt3.googleusercontent.com/KnUaK0ZntQk94XQzUGkh3qbnd7se-upRActAeF-6HI1j3GSPbrQi9OGGvi1sl9pNcbvhVk_twsg,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Health",1621660.0,24300.0,0.0,88.0,0,5,49,0,349,"['Lifestyle_(sociology)', 'Knowledge', 'Health']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8700328041519086,97.32891935190604,83.1882064105577,124.70846064814816
57758,57758,57758,58064,x2ILrCk2A3A,2022-11-07T20:19:26Z,UCre4LlH_zPpgeUVvBGCMqcA,How to CARRY as Duelist in 10 MINUTES! - Valorant Guide,https://i.ytimg.com/vi/x2ILrCk2A3A/hqdefault.jpg,SkillCapped Valorant Tips Tricks and Guides,Valorant Valorant Guide Valorant Tips and Tricks Valorant tips Skillcapped valorant Valorant Skillcapped Skillcapped Skill Capped Gameleap Valorant Pro Guides Valorant Proguides Proguides Valorant Valorant Ascended Dragonmar Sero Duelist Carry how to carr,PT10M30S,True,en-US,31617.0,1298.0,0,46,,2020-05-03T18:24:37.756859Z,SkillCapped Valorant Tips Tricks and Guides,https://yt3.ggpht.com/ytc/AMLnZu9MwK48gXHLvZW_megSXsPkAkhf__nV997N_apoUQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/TzluHvqsLaBQpyPGor25Lpoo-56_ZXnhYBljz-N-mI61yIubINob9eCGaZeYFfXkMJGxynuopA,"https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game",107071513.0,402000.0,0.0,705.0,0,10,30,0,630,"['Action-adventure_game', 'Role-playing_video_game', 'Video_game_culture', 'Action_game']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9282888463831844,96.36686635929912,71.87360639326693,118.36605324074074
21437,21437,21437,21501,AU4vfA0sAZc,2020-07-28T14:26:21Z,UCSRqaCirU02UL7i51i8VhTg,Using CarSim to Simulate Euro NCAP AEB VRU Tests,https://i.ytimg.com/vi/AU4vfA0sAZc/hqdefault.jpg,Mechanical Simulation,Euro NCAP AEB VRU Simulation automation adas carsim trucksim av autonomousdriving autonomous driving simulink mechanicalsimulationcorporation Mechanical Simulation Corporation Vehicle Dynamics engineering software,PT6M13S,True,en-US,2945.0,32.0,0,4,"Tine to CoLLision (5) 1.71

",2008-10-09T18:47:20Z,Mechanical Simulation,https://yt3.ggpht.com/ytc/AMLnZu_t4LRbKL4FLskavxoNtQzi0J4InSGylydSYF66=s800-c-k-c0x00ffffff-no-rj,https://lh3.googleusercontent.com/VZt37f7bItjxPFtwn8HeE5ufimsMHitF7HUT6rka25QjhbVfu2C-BnElRIefaxKc8WLWuWmSPA,"https://en.wikipedia.org/wiki/Vehicle,https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge",98157.0,2080.0,0.0,49.0,0,6,13,0,373,"['Vehicle', 'Technology', 'Lifestyle_(sociology)', 'Knowledge']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9477695939792936,9.696446880679767,66.45903160540512,18.81763310185185
15196,15196,15196,15236,Oc60ZRfSIiA,2019-07-28T02:35:40Z,UCtByt51SvEuImGDC2bAiC6g,Beta64 - Super Mario Galaxy with guest Scott the Woz!,https://i.ytimg.com/vi/Oc60ZRfSIiA/hqdefault.jpg,Beta64,beta 64 beta64 beta 64 scott the woz scott woz super mario galaxy beta64 super mario galaxy beta 64 super mario galaxy starman starman fort starman fortress yoshi super mario mario nintendo nintendo wii wii nintendo switch development unused unused object,PT43M13S,True,en,1702054.0,47400.0,0,4047,"E3 2006 eGINAL
",2012-08-11T01:26:34Z,Beta64,https://yt3.ggpht.com/ytc/AMLnZu_rrbVZej29UQg__AHDJVSPl_M0l21wokx7WVB_Eg=s800-c-k-c0x00ffffff-no-rj,https://lh3.googleusercontent.com/zQlsG6YaXRzw33veIY-Ls2ywj-EnjYiV53Ap1i2vkB_W5CJbKLLe65OaybktaVtpmcVw162ASQ,"https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Strategy_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game",59930549.0,422000.0,0.0,95.0,0,43,13,0,2593,"['Action_game', 'Strategy_video_game', 'Video_game_culture', 'Role-playing_video_game', 'Action-adventure_game']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6335094964630759,95.48726222180434,75.13044206492641,138.54267939814815
10945,10945,10945,10974,dqlzQXo1wqo,2018-09-17T14:43:53Z,UCJQJ4GjTiq5lmn8czf8oo0Q,What is a DMZ? (Demilitarized Zone),https://i.ytimg.com/vi/dqlzQXo1wqo/hqdefault.jpg,PowerCert Animated Videos,what is a DMZ demilitarized zone what is a firewall dmz port forwarding dmz in router dmz router explained dmz network dmz network setup what is dmz dmz in network security,PT6M14S,True,en,1160816.0,20664.0,0,553,"DMZ

WHATIS ITP. = =

no UM
; :

ANIMATED

i
",2015-05-30T22:37:45Z,PowerCert Animated Videos,https://yt3.ggpht.com/ytc/AMLnZu-d62eR6qBKZiTBwK8JM3BYIhr5YvcC7Y2oFLzDSQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.googleusercontent.com/dF5QwzKj4z9o6Fg9um4-Tl9rS3k2VIDJj_mzGJWMLRyv37efg4mfbJMa7Z-1ZVILNu0UZ7njyQ,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Technology",92914771.0,1140000.0,0.0,86.0,0,6,14,0,374,"['Lifestyle_(sociology)', 'Knowledge', 'Technology']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8759533517303805,134.29537209280363,70.65377799981206,161.60087962962962
41739,41739,41739,41938,HXQpUD_T398,2022-06-05T16:00:08Z,UCKEazrLxnT6CQp2p2aV5QKw,"This Is Why $35,000 XRP Is Still Going To Happen!",https://i.ytimg.com/vi/HXQpUD_T398/hqdefault.jpg,ABCrypto,"This Is Why $35,000 XRP Is Still Going To Happen!,this is why $35,XRP,XRP Is Still Going To Happen,xrp news today,xrp price prediction,xrp news,xrp is still going to happen,xrp,xrp news today now,xrp price,xrp price prediction 2022,ripple xrp price predic",PT3M40S,True,en,110.0,4.0,0,26,,2022-01-21T02:42:10.33795Z,ABCrypto,https://yt3.ggpht.com/X8tmijMBJOC-UoOZxPcJRJ2RAa9B7BaxawCwv86j-gv9-T8BOnYvoxvCYUGExZVcIqRmk7q33Q=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/BOGh63VAibBTQJXLW5ogSSErcQWRInpFmyw3K8FTTtXLGfXF1YotRFMId5dlG1YvZHbdz1Jm,"https://en.wikipedia.org/wiki/Society,https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",380846.0,4890.0,0.0,171.0,0,3,40,0,220,"['Society', 'Knowledge', 'Technology', 'Lifestyle_(sociology)']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8714729971663393,28.627101748076395,91.63274193454158,64.52644097222222
49884,49884,49884,50124,lgLjpWXBjzE,2022-10-09T18:13:32Z,UC2E65t4gE62JGtaPXVtDM6A,We're Doomed! MotorBikes We Don't Get in the UK & EU and Pseudo Environmental Laws that Aren't Right,https://i.ytimg.com/vi/lgLjpWXBjzE/hqdefault.jpg,Mr Darcy & The Ol' Man,"review,motorbikes,motorcycles,bikes,bike,honda,yamaha,kawasaki,bmw,w800,w175,H'ness,350,650,750,doom,environment,laws,legislation,tax,eu,uk,gb,usa,japanese,fordLightning,Mercedes EQS,EV,ev's,zero emissions,Arabian horse,Omega Speedmaster,swatch watch",PT14M38S,True,en-GB,19476.0,1409.0,0,610,"ORBIKES WE ae
",2009-07-19T10:03:32Z,Mr Darcy & The Ol' Man,https://yt3.ggpht.com/HQ-ROzpqM26Ef_uyI31KgUwxmGjIUgT2_dgKKRUIZla2ZPhwrk2G92Fm2gUKlpnvv4SqSRYoWw=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/VG-3NTNQ540tArSKgIs8KBH4H89NN3IrabCXkNGt_BkI74KvPBQDqecySDlFW_34qAMvdMb32A,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Vehicle",13832443.0,66000.0,0.0,284.0,0,14,38,0,878,"['Lifestyle_(sociology)', 'Vehicle']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9538616792406598,52.95772280335187,56.88782697152621,110.76863425925926
